referencia;designacao;localizacao
G050408PRETO;KIT OSCILOBATENTE ABERTURA LOGICA PRETO;
G050409BRANC;KIT OSCILOBATENTE ABERTURA LOGICA BRANCO;
G050409PRATA;KIT OSCILOBATENTE ABERTURA LOGICA PRATA;
G050409PRETO;KIT OSCILOBATENTE ABERTURA LOGICA PRETO;
G17G;EQUIPAMENTO BASICO 13mm Dtº;
G20L;CARTÃO BASE 150S ESQ.;
GC838160Y201;CAPA P/DOBRADIÇA EXATA D14 L45 NYLON PRETA;CILINDROS P4
GC838160Y301;CAPA P/DOBRADIÇA EXATA D14 L45 NYLON BRANCO;
GC838160YC01;CAPA P/DOBRADIÇA EXATA D16 L45 NYLON NIQ.SAT.;BS13P3
GC838160YS03-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON NIQ.SAT.;cilindros
GC8381709N02-O;CAPA PARA DOBRADIÇA BIXACTA D17 - PRETA;
GC838170JZ02-O;CAPA P/DOBRADIÇA EXATA D18 L45 ALU.BRONZE;DS2P3
GC838170PI02-O;CAPA PARA DOBRADIÇA BIXACTA D17 - BRANCA;
GC838180L104-O;CAPA P/DOBRADIÇA EXATA D18 L49 LATAO POLIDO;DS2P5
GC838180Y208-O;CAPA PARA DOBRADIÇA BIXACTA D17 - PRETA;
GC838180Y303-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON BRANCO;
GC838180Y305-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON BRANCO 9010;CX8
GC838180Y501-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON BRANCO;DS2P4
GC838180Y503-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON BRANCO;CILINDROS P4
GC838180Y603-O;CAPA PARA DOBRADIÇA BIXACTA D17 - BRANCA;
GC838180Y804-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON CASTANHO;A2 CX11
GC838180YC01-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON NIQ.SAT.;CILINDROS P4
GC838180YS03-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON PRATA;CILINDROS
GC838180YS04-O;CAPA P/DOBRADIÇA EXATA D18 L45 NYLON PRATA;CILINDROS P4
H03N;DOBRADIÇA MARCO  17/31;
H04N;DOBRADIÇA P/ARO  17/48;
H05N;CAPAS BRANCAS P/ DOBRADIÇA DE ARO  17/31;
H06N;CAPAS CASTANHAS P/ DOBRADIÇAS 17/31;
H07N;CAPAS BRANCAS P/DOBRADIÇAS DE ARO 17/48;
H08N;CAPAS CASTANHAS P/DOBRADIÇA DE ARO 17/48;
H09N;CAPA P/DOBRDIÇA FOLHA 17/31 BRANCO;
H10N;CAPAS CASTANHAS P/DOBRADIÇAS 17/31;
H11N;CAPAS BRANCAS P/DOBRADIÇAS DE FOLH 17/48;
H12N;CAPA CASTANHA P/DOBRADIÇA DE FOLHA 17/48;
H13N;CAPA  BRANCA P/DOBRADIÇA DE FOLHA 31/31;
H14N;CAPA CASTANHA P/DOBRADIÇA DE FOLHA 31/31;
H15N;CAPA BRANCA P/ DOBRADIÇA DE FOLHA 31/48;
H25M;DOBRADIÇA FOLHA   17/31;
H27M;DOBRADIÇA FOLHA 31/31;
H27N;CAPA P/DOBRADIÇA FOLHA / ARO 31/48;
H28M;DOBRADIÇA FOLHA 31/48;
H31A;ACESSORIO GUIA LARGA;
H32A;ACC. GUIA ANCHA MR.;
H33A;ACC. GUIA BRANCA;
H34A;ACC. GUIA ESTRECHA;
H36A;ACC. GUIA ENRASADA BRANCA;
H38A;CAPA P/CARROS BRANCO;
H39A;CAPAS CASTANHAS;
HD22SB304;COMPASSO PROJETANTE (PAR) 80/100 KG;S/ STOCK
HPMAN710DN;MANETE DESVIADA K/U14K DTª - PRETO;
HPMAN710IN;MANETE DESVIADA 710VK/U14K ESQª - PRETO;
IMOBILIZADO;IMOBILIZADO;
J500S00;SUPLEMENTO CHAVES IGUAIS - CHAVE NORMAL;
J500S001;SUPLEMENTO CHAVES IGUAIS - CHAVE SEGURANÇA;
J596I36;CILINDRO DE SEGURANÇA 45*35;
J596S11;MEIO CILINDRO LATÃO 40mm;
J596S12;CILINDRO   40*40mm  (13mm);
J596S13;CILINDRO 50mm;
J596S14;CILINDROS   35*45 mm;
J596S34;CILINDRO DE SEGURANÇA M6 35X35;
J596S35;CILINDROS DE SEGURANÇA M6 35X45mm;
J632626;COPIA CHAVE NORMAL;
J796354;CÓPIA CHAVE SEGURANÇA;
K000B33;PARAFUSO PARA MANETE M5X40;CS6P2
K001A73;CAPA BRANCA PARA DOBRADIÇA INFERIOR;
K001A76;CAPA BRANCA PARA SUPORTE DE DOBRADIÇA;
K002A36;SUPORTE DE DOBRADIÇA;
K010B52;CLICK FOLHA;
K011A11;SUPORTE P/COMPASSO  LIMITADOR;
K011A1500;COMPASSO C/LIMITADOR DE ABERTURA;
K011A25;COMPASSO P/LIMITADOR DE ABERTURA;
K012D08;CLICK;
K012D21;CLICK DO ARO REHAU S730;
K038A27R;PUXADOR ROTOFORM ESTREITO DIREITO;
K050A1050;MANETE ROTOLINE BRONZE;
K050A1150;MANETE ROTOFORM 35MM  -  CASTANHA;
K051A1022;MANETE ROTOLINE  TITAN C/QUADRADO DE 30MM;
K051A1151;MANETE ROTOLINE  CASTANHO C/QUADRADO DE 35MM;
K051A1170;MANETE ROTOLINE  BRANCA C/QUADRADO DE 35MM;
K051A2070;ROSETA P/MANETE;
K051A3550;MANETE ROTOLINE BRONZE C/CHAVE C/ QUADRADO DE 35MM;
K051A3551;MANETE ROTOLINE C/ CHAVE R4.1 CASTANHO;
K051A3570;MANETE ROTOLINE  BRANCO C/CHAVE C/QUADRADO DE 35MM;
K051B1030;MANETE ROTOLINE DOURADO C/QUADRADO DE 30MM;DS5P5
K051B1050;MANETE ROTOLINE  BRONZE C/QUADRADO DE 30 MM;
K051B1132;MANETE ROTOLINE LATON MACIÇO C/QUADRADO DE 35MM;
K060A2072;TIRADOR EXTERIOR DA JANELA BRANCO;
K061A1022;MANETE ROTOLINE DUAS CARAS TITAN;
K061A1051;MANETE DE 2 CARAS P/PERSIANAS;
K061A1070;MANETE ROTOLINE 2 CARAS BRANCA;
K061B1030;MANETE DOURADA;
K061B1050;MANETE ROTOLINE 2 CARAS BRONZE;
K061B1430;MANETE ROTOLINE 2 CARAS P/PERSIANA DOURADA;CS15P2
K200CW11;KIT ELEVAVEL CW 200KG 1800 A X 1360 L;
K200CW12;KIT ELEVAVEL CW 200KG 2100 A X 1360 L;
K200CW13;KIT ELEVAVEL CW 200KG 2400 A X 1360 L;
K200CW14;KIT ELEVAVEL CW 200KG 2700 A X 1360 L;
K200CW21;KIT ELEVAVEL CW 200KG 1800 A X 1860 L;
K200CW22;KIT ELEVAVEL CW 200KG 2100 A X 1860 L;
K200CW23;KIT ELEVAVEL CW 200KG 2400 A X 1860 L;
K200CW24;KIT ELEVAVEL CW 200KG 2700 A X 1860 L;
K200CW31;KIT ELEVAVEL CW 200KG 1800 A X 2360 L;
K200CW32;KIT ELEVAVEL CW 200KG 2100 A X 2360 L;
K200CW33;KIT ELEVAVEL CW 200KG 2400 A X 2360 L;
K200CW34;KIT ELEVAVEL CW 200KG 2700 A X 2360 L;
K200JE11;KIT ELEVAVEL JE 200KG 1800 A X 1360 L;
K200JE12;KIT ELEVAVEL JE 200KG 2100 A X 1360 L;
K200JE13;KIT ELEVAVEL JE 200KG 2400 A X 1360 L;
K200JE14;KIT ELEVAVEL JE 200KG 2700 A X 1360 L;
K200JE21;KIT ELEVAVEL JE 200KG 1800 A X 1860 L;
K200JE22;KIT ELEVAVEL JE 200KG 2100 A X 1860 L;
K200JE23;KIT ELEVAVEL JE 200KG 2400 A X 1860 L;
K200JE24;KIT ELEVAVEL JE 200KG 2700 A X 1860 L;
K200JE31;KIT ELEVAVEL JE 200KG 1800 A X 2360 L;
K200JE32;KIT ELEVAVEL JE 200KG 2100 A X 2360 L;
K200JE33;KIT ELEVAVEL JE 200KG 2400 A X 2360 L;
K200JE34;KIT ELEVAVEL JE 200KG 2700 A X 2360 L;
K200N2411;KIT ELEVAVEL N24 200KG 1800 A X 1360 L;
K200N2412;KIT ELEVAVEL N24 200KG 2100 A X 1360 L;
K200N2413;KIT ELEVAVEL N24 200KG 2400 A X 1360 L;
K200N2414;KIT ELEVAVEL N24 200KG 2700 A X 1360 L;
K200N2421;KIT ELEVAVEL N24 200KG 1800 A X 1860 L;
K200N2422;KIT ELEVAVEL N24 200KG 2100 A X 1860 L;
K200N2423;KIT ELEVAVEL N24 200KG 2400 A X 1860 L;
K200N2424;KIT ELEVAVEL N24 200KG 2700 A X 1860 L;
K200N2431;KIT ELEVAVEL N24 200KG 1800 A X 2360 L;
K200N2432;KIT ELEVAVEL N24 200KG 2100 A X 2360 L;
K200N2433;KIT ELEVAVEL N24 200KG 2400 A X 2360 L;
K200N2434;KIT ELEVAVEL N24 200KG 2700 A X 2360 L;
K200RTC11;KIT ELEVAVEL RTC 200KG 1800 A X 1360 L;
K200RTC12;KIT ELEVAVEL RTC 200KG 2100 A X 1360 L;
K200RTC13;KIT ELEVAVEL RTC 200KG 2400 A X 1360 L;
K200RTC14;KIT ELEVAVEL RTC 200KG 2700 A X 1360 L;
K200RTC21;KIT ELEVAVEL RTC 200KG 1800 A X 1860 L;
K200RTC22;KIT ELEVAVEL RTC 200KG 2100 A X 1860 L;
K200RTC23;KIT ELEVAVEL RTC 200KG 2400 A X 1860 L;
K200RTC24;KIT ELEVAVEL RTC 200KG 2700 A X 1860 L;
K200RTC31;KIT ELEVAVEL RTC 200KG 1800 A X 2360 L;
K200RTC32;KIT ELEVAVEL RTC 200KG 2100 A X 2360 L;
K200RTC33;KIT ELEVAVEL RTC 200KG 2400 A X 2360 L;
K200RTC34;KIT ELEVAVEL RTC 200KG 2700 A X 2360 L;
K200T4011;KIT ELEVAVEL T40 200KG 1800 A X 1360 L;
K200T4012;KIT ELEVAVEL T40 200KG 2100 A X 1360 L;
K200T4013;KIT ELEVAVEL T40 200KG 2400 A X 1360 L;
K200T4014;KIT ELEVAVEL T40 200KG 2700 A X 1360 L;
K200T4021;KIT ELEVAVEL T40 200KG 1800 A X 1860 L;
K200T4022;KIT ELEVAVEL T40 200KG 2100 A X 1860 L;
K200T4023;KIT ELEVAVEL T40 200KG 2400 A X 1860 L;
K200T4024;KIT ELEVAVEL T40 200KG 2700 A X 1860 L;
K200T4031;KIT ELEVAVEL T40 200KG 1800 A X 2360 L;
K200T4032;KIT ELEVAVEL T40 200KG 2100 A X 2360 L;
K200T4033;KIT ELEVAVEL T40 200KG 2400 A X 2360 L;
K200T4034;KIT ELEVAVEL T40 200KG 2700 A X 2360 L;
K250CW11;KIT ELEVAVEL CW 250KG 1800 A X 1360 L;
K250CW12;KIT ELEVAVEL CW 250KG 2100 A X 1360 L;
K250CW13;KIT ELEVAVEL CW 250KG 2400 A X 1360 L;
K250CW14;KIT ELEVAVEL CW 250KG 2700 A X 1360 L;
K250CW21;KIT ELEVAVEL CW 250KG 1800 A X 1860 L;
K250CW22;KIT ELEVAVEL CW 250KG 2100 A X 1860 L;
K250CW23;KIT ELEVAVEL CW 250KG 2400 A X 1860 L;
K250CW24;KIT ELEVAVEL CW 250KG 2700 A X 1860 L;
K250CW31;KIT ELEVAVEL CW 250KG 1800 A X 2360 L;
K250CW32;KIT ELEVAVEL CW 250KG 2100 A X 2360 L;
K250CW33;KIT ELEVAVEL CW 250KG 2400 A X 2360 L;
K250CW34;KIT ELEVAVEL CW 250KG 2700 A X 2360 L;
K250JE11;KIT ELEVAVEL JE 250KG 1800 A X 1360 L;
K250JE12;KIT ELEVAVEL JE 250KG 2100 A X 1360 L;
K250JE13;KIT ELEVAVEL JE 250KG 2400 A X 1360 L;
K250JE14;KIT ELEVAVEL JE 250KG 2700 A X 1360 L;
K250JE21;KIT ELEVAVEL JE 250KG 1800 A X 1860 L;
K250JE22;KIT ELEVAVEL JE 250KG 2100 A X 1860 L;
K250JE23;KIT ELEVAVEL JE 250KG 2400 A X 1860 L;
K250JE24;KIT ELEVAVEL JE 250KG 2700 A X 1860 L;
K250JE31;KIT ELEVAVEL JE 250KG 1800 A X 2360 L;
K250JE32;KIT ELEVAVEL JE 250KG 2100 A X 2360 L;
K250JE33;KIT ELEVAVEL JE 250KG 2400 A X 2360 L;
K250JE34;KIT ELEVAVEL JE 250KG 2700 A X 2360 L;
K250N2411;KIT ELEVAVEL N24 250KG 1800 A X 1360 L;
K250N2412;KIT ELEVAVEL N24 250KG 2100 A X 1360 L;
K250N2413;KIT ELEVAVEL N24 250KG 2400 A X 1360 L;
K250N2414;KIT ELEVAVEL N24 250KG 2700 A X 1360 L;
K250N2421;KIT ELEVAVEL N24 250KG 1800 A X 1860 L;
K250N2422;KIT ELEVAVEL N24 250KG 2100 A X 1860 L;
K250N2423;KIT ELEVAVEL N24 250KG 2400 A X 1860 L;
K250N2424;KIT ELEVAVEL N24 250KG 2700 A X 1860 L;
K250N2431;KIT ELEVAVEL N24 250KG 1800 A X 2360 L;
K250N2432;KIT ELEVAVEL N24 250KG 2100 A X 2360 L;
K250N2433;KIT ELEVAVEL N24 250KG 2400 A X 2360 L;
K250N2434;KIT ELEVAVEL N24 250KG 2700 A X 2360 L;
K250RTC11;KIT ELEVAVEL RTC 250KG 1800 A X 1360 L;
K250RTC12;KIT ELEVAVEL RTC 250KG 2100 A X 1360 L;
K250RTC13;KIT ELEVAVEL RTC 250KG 2400 A X 1360 L;
K250RTC14;KIT ELEVAVEL RTC 250KG 2700 A X 1360 L;
K250RTC21;KIT ELEVAVEL RTC 250KG 1800 A X 1860 L;
K250RTC22;KIT ELEVAVEL RTC 250KG 2100 A X 1860 L;
K250RTC23;KIT ELEVAVEL RTC 250KG 2400 A X 1860 L;
K250RTC24;KIT ELEVAVEL RTC 250KG 2700 A X 1860 L;
K250RTC31;KIT ELEVAVEL RTC 250KG 1800 A X 2360 L;
K250RTC32;KIT ELEVAVEL RTC 250KG 2100 A X 2360 L;
K250RTC33;KIT ELEVAVEL RTC 250KG 2400 A X 2360 L;
K250RTC34;KIT ELEVAVEL RTC 250KG 2700 A X 2360 L;
K250T4011;KIT ELEVAVEL T40 250KG 1800 A X 1360 L;
K250T4012;KIT ELEVAVEL T40 250KG 2100 A X 1360 L;
K250T4013;KIT ELEVAVEL T40 250KG 2400 A X 1360 L;
K250T4014;KIT ELEVAVEL T40 250KG 2700 A X 1360 L;
K250T4021;KIT ELEVAVEL T40 250KG 1800 A X 1860 L;
K250T4022;KIT ELEVAVEL T40 250KG 2100 A X 1860 L;
K250T4023;KIT ELEVAVEL T40 250KG 2400 A X 1860 L;
K250T4024;KIT ELEVAVEL T40 250KG 2700 A X 1860 L;
K250T4031;KIT ELEVAVEL T40 250KG 1800 A X 2360 L;
K250T4032;KIT ELEVAVEL T40 250KG 2100 A X 2360 L;
K250T4033;KIT ELEVAVEL T40 250KG 2400 A X 2360 L;
K250T4034;KIT ELEVAVEL T40 250KG 2700 A X 2360 L;
K400CW11;KIT ELEVAVEL CW 400KG 1800 A X 1360 L;
K400CW12;KIT ELEVAVEL CW 400KG 2100 A X 1360 L;
K400CW13;KIT ELEVAVEL CW 400KG 2400 A X 1360 L;
K400CW14;KIT ELEVAVEL CW 400KG 2700 A X 1360 L;
K400CW21;KIT ELEVAVEL CW 400KG 1800 A X 1860 L;
K400CW22;KIT ELEVAVEL CW 400KG 2100 A X 1860 L;
K400CW23;KIT ELEVAVEL CW 400KG 2400 A X 1860 L;
K400CW24;KIT ELEVAVEL CW 400KG 2700 A X 1860 L;
K400CW31;KIT ELEVAVEL CW 400KG 1800 A X 2360 L;
K400CW32;KIT ELEVAVEL CW 400KG 2100 A X 2360 L;
K400CW33;KIT ELEVAVEL CW 400KG 2400 A X 2360 L;
K400CW34;KIT ELEVAVEL CW 400KG 2700 A X 2360 L;
K400JE11;KIT ELEVAVEL JE 400KG 1800 A X 1360 L;
K400JE12;KIT ELEVAVEL JE 400KG 2100 A X 1360 L;
K400JE13;KIT ELEVAVEL JE 400KG 2400 A X 1360 L;
K400JE14;KIT ELEVAVEL JE 400KG 2700 A X 1360 L;
K400JE21;KIT ELEVAVEL JE 400KG 1800 A X 1860 L;
K400JE22;KIT ELEVAVEL JE 400KG 2100 A X 1860 L;
K400JE23;KIT ELEVAVEL JE 400KG 2400 A X 1860 L;
K400JE24;KIT ELEVAVEL JE 400KG 2700 A X 1860 L;
K400JE31;KIT ELEVAVEL JE 400KG 1800 A X 2360 L;
K400JE32;KIT ELEVAVEL JE 400KG 2100 A X 2360 L;
K400JE33;KIT ELEVAVEL JE 400KG 2400 A X 2360 L;
K400JE34;KIT ELEVAVEL JE 400KG 2700 A X 2360 L;
K400N2411;KIT ELEVAVEL N24 400KG 1800 A X 1360 L;
K400N2412;KIT ELEVAVEL N24 400KG 2100 A X 1360 L;
K400N2413;KIT ELEVAVEL N24 400KG 2400 A X 1360 L;
K400N2414;KIT ELEVAVEL N24 400KG 2700 A X 1360 L;
K400N2421;KIT ELEVAVEL N24 400KG 1800 A X 1860 L;
K400N2422;KIT ELEVAVEL N24 400KG 2100 A X 1860 L;
K400N2423;KIT ELEVAVEL N24 400KG 2400 A X 1860 L;
K400N2424;KIT ELEVAVEL N24 400KG 2700 A X 1860 L;
K400N2431;KIT ELEVAVEL N24 400KG 1800 A X 2360 L;
K400N2432;KIT ELEVAVEL N24 400KG 2100 A X 2360 L;
K400N2433;KIT ELEVAVEL N24 400KG 2400 A X 2360 L;
K400N2434;KIT ELEVAVEL N24 400KG 2700 A X 2360 L;
K400RTC11;KIT ELEVAVEL RTC 400KG 1800 A X 1360 L;
K400RTC12;KIT ELEVAVEL RTC 400KG 2100 A X 1360 L;
K400RTC13;KIT ELEVAVEL RTC 400KG 2400 A X 1360 L;
K400RTC14;KIT ELEVAVEL RTC 400KG 2700 A X 1360 L;
K400RTC21;KIT ELEVAVEL RTC 400KG 1800 A X 1860 L;
K400RTC22;KIT ELEVAVEL RTC 400KG 2100 A X 1860 L;
K400RTC23;KIT ELEVAVEL RTC 400KG 2400 A X 1860 L;
K400RTC24;KIT ELEVAVEL RTC 400KG 2700 A X 1860 L;
K400RTC31;KIT ELEVAVEL RTC 400KG 1800 A X 2360 L;
K400RTC32;KIT ELEVAVEL RTC 400KG 2100 A X 2360 L;
K400RTC33;KIT ELEVAVEL RTC 400KG 2400 A X 2360 L;
K400RTC34;KIT ELEVAVEL RTC 400KG 2700 A X 2360 L;
K400T4011;KIT ELEVAVEL T40 400KG 1800 A X 1360 L;
K400T4012;KIT ELEVAVEL T40 400KG 2100 A X 1360 L;
K400T4013;KIT ELEVAVEL T40 400KG 2400 A X 1360 L;
K400T4014;KIT ELEVAVEL T40 400KG 2700 A X 1360 L;
K400T4021;KIT ELEVAVEL T40 400KG 1800 A X 1860 L;
K400T4022;KIT ELEVAVEL T40 400KG 2100 A X 1860 L;
K400T4023;KIT ELEVAVEL T40 400KG 2400 A X 1860 L;
K400T4024;KIT ELEVAVEL T40 400KG 2700 A X 1860 L;
K400T4031;KIT ELEVAVEL T40 400KG 1800 A X 2360 L;
K400T4032;KIT ELEVAVEL T40 400KG 2100 A X 2360 L;
K400T4033;KIT ELEVAVEL T40 400KG 2400 A X 2360 L;
K400T4034;KIT ELEVAVEL T40 400KG 2700 A X 2360 L;
K509A04;;
K509A43;ELEM.FECHO BASC. ARO (DECEUNINCK);
K509A57;ELEMENTO DE FECHO BASCULANTE VEKA;
K509A71;ELEMENTO DE FECHO;
K510A43;ELEMENTO DE FECHO CALHA SUPERIOR E INFERIOR DECEUNINCK;
K510A47;ELEMENTO DE FECHO;
K600A78L;;
K600A78R;;
K602A06;ELEMENTO DE FECHO CALHA SUPERIOR E INFERIOR VEKA;
K602A18;ELEMENTO DE FECHO CALHA SUPERIOR E INFERIOR KOMMERLING;
K602A19;ELEMENTO DE FECHO CALHA SUPERIOR E INFERIOR THYSSEN;
K602A21;ELEMENTO DE FECHO CALHA SUPERIOR E INFERIOR REHAU;
K602A28;ELEM.FECHO PASSADOR SALAMANDER;
K602A30;ELEMENTO DE FECHO CALHA SUPERIOR INFERIOR. TROCAL ECO;
K603A13;;
K604A32;;
K604A43;;
K604A55;ELEMENTO DE FECHO LATERAL TROCAL;
K604A56L;ELEMENTO DE FECHO OB 1 FOLHA ESQ. TROCAL;
K605A09;CALHA DE FECHO EM PVC;
K605A18;ELEMENTO FECHO BASCULANTE ARO;
K605A76L;ELEMENTO DE FECHO OB 1 FOLHA  ESQ. VEKA;
K605A76R;ELEMENTO DE FECHO OB 1 FOLHA  DTº VEKA;
K605B33;;
K605B55;CALHA DE FECHO PARA CANAL LISO (18MM);
K605C56;ELEMENTO DE FECHO;
K605C81;ELEMENTO DE FECHO LATERAL VEKA;
K606A35;ELEMENTO DE FECHO LATERAL KOMMERLING;
K606A36;ELEMENTO DE FECHO OB 1 FOLHA KOMMERLING;
K607A22;ELEMENTO DE FECHO OB 1 FOLHA TROCAL;
K608A83;;
K608A84;;
K611C10;CREMONA COTA FIXA  7,5 (461-600);
K611C20;CREMONA  COTA FIXA 7.5 (601-800);
K611C30;CREMONA COTA FIXA 7.5  (801-1000);
K611C40;CREMONA COTA FIXA 7.5 (1001-1200);
K611C50;CREMONA COTA FIXA 7.5 (1201-1400);
K611C60;CREMONA COTA FIXA 7.5 (1401-1600);
K611C70;;
K612C10;;
K612C21;CREMONA COTA FIXA 7.5 (2001-2200);
K612C31;CREMONA COTA FIXA  7.5 (2201-2400);
K613C11;CREMONA COTA VARIAVEL 7.5 (465-620);
K613C21;CREMONA COTA VARIAVEL 7.5 (621-1000);
K613C31;CREMONA COTA VARIAVEL 7.5 (1001-1400);
K613C41;CREMONA COTA VARIAVEL 7.5 (1401-1800);
K613C51;CREMONA COTA VARIAVEL 7.5 (1600-2000);
K613C61;CREMONA COTA VARIAVEL 7.5 (2001-2400);
K64J;COMPASSO BASCULANTE PEQUENO;
K650A11;ELEMENTO DE FECHO LATERAL THYSSEN;
K650A12;ELEMENTO DE FECHO OB 1 FOLHA THYSSEN;
K650A16;ELEMENTO DE FECHO LATERAL KBE;
K650A31;ELEMENTO DE FECHO LATERAL REHAU;
K650A32L;ELEMENTO DE FECHO OB 1 FOLHA REHAU ESQ.;
K650A32R;ELEMENTO DE FECHO OB 1 FOLHA REHAU DTº;
K650A34;ELEMENTO DE FECHO FIXO REHAU;
K650A35L;ELEM.FECHO OB 1 FOLHA SALAMANDER;
K650A35R;ELEM.FECHO OB 1 FOLHA SALAMANDER;
K650A36;ELEMENTO FECHO LATERAL SALAMANDER;
K650A43;ELEMENTO DE FECHO LATERAL DECEUNINCK;
K650A44;ELEMENTO DE FECHO OB 1 FOLHA DECEUNINCK;
K650A61;ELEMENTO DE FECHO LATERAL PLASTIVAL;
K650A62L;ELEMENTO DE FECHO 1 FOLHA OB;
K650A62R;ELEMENTO DE FECHO 1 FOLHA OB;
K654A07;;
KACTE011;KIT ELEVAVEL 300 KG FOLHA 1800 A X 1600 L - ESQ. A;
KACTE012;KIT ELEVAVEL 300 KG FOLHA 2200 A X 1600 L - ESQ. A;
KACTE013;KIT ELEVAVEL 300 KG FOLHA 2600 A X 1600 L - ESQ. A;
KACTE014;KIT ELEVAVEL 300 KG FOLHA 3000 A X 1600 L - ESQ. A;
KACTE021;KIT ELEVAVEL 300 KG FOLHA 1800 A X 1900 L - ESQ. A;
KACTE022;KIT ELEVAVEL 300 KG FOLHA 2200 A X 1900 L - ESQ. A;
KACTE023;KIT ELEVAVEL 300 KG FOLHA 2600 A X 1900 L - ESQ. A;
KACTE024;KIT ELEVAVEL 300 KG FOLHA 3000 A X 1900 L - ESQ. A;
KACTE031;KIT ELEVAVEL 300 KG FOLHA 1800 A X 2200 L - ESQ. A;
KACTE032;KIT ELEVAVEL 300 KG FOLHA 2200 A X 2200 L - ESQ. A;
KACTE033;KIT ELEVAVEL 300 KG FOLHA 2600 A X 2200 L - ESQ. A;
KACTE034;KIT ELEVAVEL 300 KG FOLHA 3000 A X 2200 L - ESQ. A;
KACTE041;KIT ELEVAVEL 300 KG FOLHA 1800 A X 2500 L - ESQ. A;
KACTE042;KIT ELEVAVEL 300 KG FOLHA 2200 A X 2500 L - ESQ. A;
KACTE043;KIT ELEVAVEL 300 KG FOLHA 2600 A X 2500 L - ESQ. A;
KACTE044;KIT ELEVAVEL 300 KG FOLHA 3000 A X 2500 L - ESQ. A;
KACTE051;KIT ELEVAVEL 300 KG FOLHA 1800 A X 3000 L - ESQ. A;
KACTE052;KIT ELEVAVEL 300 KG FOLHA 2200 A X 3000 L - ESQ. A;
KACTE053;KIT ELEVAVEL 300 KG FOLHA 2600 A X 3000 L - ESQ. A;
KACTE054;KIT ELEVAVEL 300 KG FOLHA 3000 A X 3000 L - ESQ. A;
KACW011;KIT ELEVAVEL 200 KG FOLHA 1800 A X 1350 L - ESQ. A;
KACW012;KIT ELEVAVEL 200 KG FOLHA 2100 A X 1350 L - ESQ. A;
KACW013;KIT ELEVAVEL 200 KG FOLHA 2400 A X 1350 L - ESQ. A;
KACW014;KIT ELEVAVEL 200 KG FOLHA 2700 A X 1350 L - ESQ. A;
KACW021;KIT ELEVAVEL 200 KG FOLHA 1800 A X 1655 L - ESQ. A;
KACW022;KIT ELEVAVEL 200 KG FOLHA 2100 A X 1655 L - ESQ. A;
KACW023;KIT ELEVAVEL 200 KG FOLHA 2400 A X 1655 L - ESQ. A;
KACW024;KIT ELEVAVEL 200 KG FOLHA 2700 A X 1655 L - ESQ. A;
KACW031;KIT ELEVAVEL 200 KG FOLHA 1800 A X 2000 L - ESQ. A;
KACW032;KIT ELEVAVEL 200 KG FOLHA 2100 A X 2000 L - ESQ. A;
KACW033;KIT ELEVAVEL 200 KG FOLHA 2400 A X 2000 L - ESQ. A;
KACW034;KIT ELEVAVEL 200 KG FOLHA 2700 A X 2000 L - ESQ. A;
KACW041;KIT ELEVAVEL 200 KG FOLHA 1800 A X 2260 L - ESQ. A;
KACW042;KIT ELEVAVEL 200 KG FOLHA 2100 A X 2260 L - ESQ. A;
KACW043;KIT ELEVAVEL 200 KG FOLHA 2400 A X 2260 L - ESQ. A;
KACW044;KIT ELEVAVEL 200 KG FOLHA 2700 A X 2260 L - ESQ. A;
KACW051;KIT ELEVAVEL 200 KG FOLHA 1800 A X 3000 L - ESQ. A;
KACW052;KIT ELEVAVEL 200 KG FOLHA 2100 A X 3000 L - ESQ. A;
KACW053;KIT ELEVAVEL 200 KG FOLHA 2400 A X 3000 L - ESQ. A;
KACW054;KIT ELEVAVEL 200 KG FOLHA 2700 A X 3000 L - ESQ. A;
KANV011;KIT ELEVAVEL 200 KG FOLHA 1800 A X 1350 L - ESQ. A;
KANV012;KIT ELEVAVEL 200 KG FOLHA 2100 A X 1350 L - ESQ. A;
KANV013;KIT ELEVAVEL 200 KG FOLHA 2400 A X 1350 L - ESQ. A;
KANV014;KIT ELEVAVEL 200 KG FOLHA 2700 A X 1350 L - ESQ. A;
KANV021;KIT ELEVAVEL 200 KG FOLHA 1800 A X 1655 L - ESQ. A;
KANV022;KIT ELEVAVEL 200 KG FOLHA 2100 A X 1655 L - ESQ. A;
KANV023;KIT ELEVAVEL 200 KG FOLHA 2400 A X 1655 L - ESQ. A;
KANV024;KIT ELEVAVEL 200 KG FOLHA 2700 A X 1655 L - ESQ. A;
KANV031;KIT ELEVAVEL 200 KG FOLHA 1800 A X 2000 L - ESQ. A;
KANV032;KIT ELEVAVEL 200 KG FOLHA 2100 A X 2000 L - ESQ. A;
KANV033;KIT ELEVAVEL 200 KG FOLHA 2400 A X 2000 L - ESQ. A;
KANV034;KIT ELEVAVEL 200 KG FOLHA 2700 A X 2000 L - ESQ. A;
